         1107221 function calls (1078620 primitive calls) in 47.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   47.293   23.646 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/IPython/core/interactiveshell.py:3490(run_code)
        2    0.000    0.000   47.292   23.646 {built-in method builtins.exec}
        1    0.004    0.004   47.137   47.137 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_cae.py:121(from_ansa_shell)
        1    0.044    0.044   46.760   46.760 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_cae.py:32(__init__)
        1    0.095    0.095   46.637   46.637 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_base.py:34(__init__)
        1    2.928    2.928   46.387   46.387 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/helpers.py:8(calc_adjacencies)
       24    0.000    0.000   19.785    0.824 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_base.py:620(__matmul__)
       24    0.000    0.000   19.785    0.824 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_base.py:505(_mul_dispatch)
       24    0.001    0.000   19.784    0.824 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_compressed.py:506(_mul_sparse_matrix)
      209   19.751    0.095   19.751    0.095 {built-in method numpy.array}
       24   13.078    0.545   13.078    0.545 {built-in method scipy.sparse._sparsetools.csr_matmat}
       24    6.696    0.279    6.696    0.279 {built-in method scipy.sparse._sparsetools.csr_matmat_maxnnz}
       25    0.000    0.000    3.517    0.141 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_base.py:477(__sub__)
       25    0.004    0.000    3.516    0.141 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_compressed.py:361(_sub_sparse)
       25    0.001    0.000    3.512    0.140 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_compressed.py:1237(_binopt)
       25    3.306    0.132    3.306    0.132 {built-in method scipy.sparse._sparsetools.csr_minus_csr}
        5    0.000    0.000    0.415    0.083 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/numpy/lib/arraysetops.py:138(unique)
        5    0.008    0.002    0.403    0.081 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
        5    0.390    0.078    0.390    0.078 {method 'sort' of 'numpy.ndarray' objects}
  101/100    0.001    0.000    0.211    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_compressed.py:25(__init__)
      101    0.001    0.000    0.203    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_compressed.py:135(check_format)
      126    0.001    0.000    0.199    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_compressed.py:1167(prune)
       53    0.198    0.004    0.198    0.004 {method 'copy' of 'numpy.ndarray' objects}
      252    0.000    0.000    0.197    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/_lib/_util.py:144(_prune_array)
        1    0.000    0.000    0.194    0.194 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_cae.py:669(_read_ansafile)
        1    0.000    0.000    0.183    0.183 /usr/lib/python3.10/json/__init__.py:299(loads)
        1    0.000    0.000    0.183    0.183 /usr/lib/python3.10/json/decoder.py:332(decode)
        1    0.183    0.183    0.183    0.183 /usr/lib/python3.10/json/decoder.py:343(raw_decode)
        1    0.002    0.002    0.155    0.155 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:223(from_ansa_json)
        1    0.012    0.012    0.099    0.099 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:235(<listcomp>)
        1    0.047    0.047    0.059    0.059 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_cae.py:79(<dictcomp>)
        1    0.016    0.016    0.057    0.057 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_exceptions.py:33(check_hyper_edges)
        1    0.015    0.015    0.053    0.053 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_exceptions.py:52(check_vtx_ids)
    28553    0.017    0.000    0.049    0.000 {built-in method builtins.all}
    28536    0.017    0.000    0.039    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_base.py:81(<genexpr>)
